comentario,etiquetado_humano,categoria
ya que tengamos gente hacen el mundial,,seguridad
y por que no usan esa fuerza para contrarrestar a quienes atentan contra los propios mexicanos,,seguridad
ósea que si se puede realizar un plan de protección a los ciudadanos,,seguridad
excelente,,seguridad
vergüenza de gobierno tenemos,,seguridad
los gobiernos quieren silenciar la molestia de la gente en tantos sectores que ya no saben que hacer y piensan que es puro boot,,seguridad
oyeron bien tiene como objetivo proteger a los turistas,,seguridad
qué dolor me entristece mucho,,seguridad
y si boycoteamos el fútbol,,seguridad
kukulkan me suena conocido,,seguridad
es una realidad que en méxico se vive un tema de inseguridad muy severo pero mayormente estos movimientos no digo que todo esté financiado por partidos políticos,,seguridad
no cuidan a los mexicanos que les espera a los turistas tstsss,,seguridad
ojalá el mundial durara por siempre,,seguridad
ojala encuentren a sus familiares,,seguridad
muy muy bueno su plan para cuidar a extranjeros cuál es el plan para cuidar mexicanos,,seguridad
entonces me están diciendo que si podemos tener un país seguro simplemente no nos daba la gana,,seguridad
que triste que les importen más los turistas que su propia gente,,seguridad
bien dicho,,seguridad
nada que ver cada quien tiene su historia y lo que hoy desprecian tal vez es el salvavidas para otra persona que también está sufriendo,,seguridad
amén muchas bendiciones y mi apoyo con ustedes justicia,,seguridad
asi deberia de ser todo el año en vez de solo por el mundial dirán que eso requerira mucho dinero pero por eso se pagan impuestos y por eso le subio los impuestos a ciertas cosas,,seguridad
y a usa no le van a decir nada,,seguridad
que fuerte bendiciones de todo corazón,,seguridad
apoyo total y visibilidad a esta problemática,,seguridad
una vez acabé el mundial el super plan se va,,seguridad
y la seguridad de los cuidados mexicanos,,seguridad
me entristece,,seguridad
no al mundial,,seguridad
así es fuera el mundial,,seguridad
una vergüenza que el estado solo invierta en seguridad cuando necesitan aparentar pero a su propia gente deja que la desaparezcan y la maten como si nada,,seguridad
si se hacen manifestaciones el día de los partidos yo creo que muchos jaliscienses los apoyamos,,seguridad
botón para que cancelen el mundial méxico no lo merece,,seguridad
todo el país debe manifestarse,,seguridad
todo eso nos costará mucho dinero,,seguridad
y plan para proteger a los turistas pero no a los mexicanos me da risa mucho,,seguridad
que triste es verdad da prioridad al mundial y lo que me imagino es que después del mundial preparan nueva pandemia,,seguridad
puedes tener el mejor plan pero si los elementos son c0rrup70s va estar denso,,seguridad
esté dispositivo de seguridad debería ser siempre,,seguridad
va a ser el peor mundial q se realice,,seguridad
que le hacen a la mamada esto no es ni mundial,,seguridad
great podré viajar a méxico,,seguridad
oigan pero es sus fotos muy santitos no se ven,,seguridad
ojala nadie vaya es muy peligroso,,seguridad
nomas por un mundial suena como perú con los árboles me da risa me entristece,,seguridad
en el estadio gritar fuera claudia,,seguridad
duermete,,seguridad
total apoyo me gusta,,seguridad
esperemos que si se cancele el mundial,,seguridad
gente y quien protejera a los mexicanos del narcomorena piencen los extranjeros estaran protegidos los mexicanos y mexicanas no,,seguridad
y porque no dejan ese plan permanente para combatir a los narcos,,seguridad
ahora si despliegan seguridad por partidos de fútbol cuando esté plan debió y debe estar siempre activo para nosotros los mexicanos,,seguridad
menos ganas me dieron de ir a méxico la neta,,seguridad
eso deberían de hacer todo el año y en todo méxico no nomas en esos eventos,,seguridad
ojalá algún día logren encontrar a sus familiares pero con todo respeto empezó mal tu vídeo pues todos tenemos derecho de vivir y divertirnos y la vida sigue no xq algunos la estemos pasando mal el país se tiene q paralizar dios los ayude y su familiar regrese me gusta,,seguridad
no hay peor ciego que el que no quiere ver si pueden dar seguridad pero no quieren me enoja,,seguridad
sea como sea esos narcos van a acabar con los turista y dañará el mundia en esa parte acuérdense de mi,,seguridad
hagan un go found me o algo para aportar a sus impresiones,,seguridad
pero si peña nieto fue el que trajo el mundial a méxico,,seguridad
todos tienen fintas licenciados,,seguridad
no vaya a ser que desaparecen 20 alumnos de 19 años porque ahi si ni voltean a ver,,seguridad
y porque no hacen eso siempre,,seguridad
no al mundial,,seguridad
claudia chimbaun viendo el video,,seguridad
que tristeza que tengan que arreglar la violencia por el mundial y no por el bien de los mexicanos,,seguridad
beatrice manguito me da risa ifusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusiónj difusión difusión,,seguridad
que bueno por lo que estan haciendo muestren la realidad que vivimos dios los ayude tanto en lo económico como lo espiritual porque es horrible no saber donde esta tu hijo e o hija me da risa me gusta mucho,,seguridad
no queremos mundial queremos seguridad,,seguridad
digan no al mundial en méxico no es seguro,,seguridad
heeeey turistas no crean todo esto ni aviones tenemos me da risa mucho,,seguridad
y por qué no han querido hacer eso desde el sexenio pasado en todo el país para proteger a todos los mexicanos una vez más demuestran que no les importamos harán todo esto porque les urge tener al mundial,,seguridad
interactuando por empatía espero logren algún día encontrar paz,,seguridad
consejo de un mexicano si tienes la oportunidad de venir al mundial por favor desaprovecha lo no es nada seguro,,seguridad
eso no tiene nada que ver con el mundial,,seguridad
que vergüenza mi méxico,,seguridad
ósea que a nuestro gobierno le importan más los gringos y la gente extranjera que su propia gente nacida en méxico chaleee,,seguridad
que horror me duele mis hermanos hispanos como los políticos los abandonan por un sueldo y vivir como millonarios,,seguridad
fifa debería de sacar a méxico del mundial,,seguridad
me gusta mucho el fut pero dada las circunstancias ni me emociona nada el mundial prefiero otro méxico que un mundial,,seguridad
justicia para todos los desaparecidos es muy grave lo que están viviendo,,seguridad
interactuando me entristece,,seguridad
y sin el mundial no lo van a hacer o qué,,seguridad
ojo turistas tienen 15 días antes del mundial para entrar y 15 días después del mundial para salir después el gobierno no es responsable de lo que les pase,,seguridad
igual que en todos los países que pena,,seguridad
osea si hay tecnología y dinero para cuidar a extranjeros pero para proteger en méxico a los mexicanos nadota,,seguridad
presidente pon tu denuncia,,seguridad
quieren tapar lo que no se puede ocultar todo lo que pasa a diario,,seguridad
por que no usan ese despliegue para pelear contra los narcos,,seguridad
por qué tik tok no nos deja hacer repost,,seguridad
y así claudia dice que no vean tv azteca más bien no quiere que vean sus errores cómo líder,,seguridad
no me gusta el gobierno gasta millones en un torneo que nisiquiera vamos a ganar me da risa,,seguridad
es una burla para las y los mexicanos,,seguridad
ojalá así fuera la seguridad y compromiso siempre no cabe duda que a este gobierno el pueblo le malo,,seguridad
y estados unidos no se lo van a quitar esta en plena guerra,,seguridad
nadie deberia comprar esos boletos tan caros no lo valen,,seguridad
proteger a méxico durante el mundial chale bro está claro que no merecemos ser una sede del mundial,,seguridad
con el estado sinaloa ya se demostró que méxico es un país fallido,,seguridad
peña nieto trajo el mundial,,seguridad
nos traicionó el sistema,,seguridad
y cuando nos van a proteger a nosotros,,seguridad
y q podrian hacer decir no al mundial y seguir como siempre,,seguridad
seguridad gobierno solo seguridad esto está de terror ya no vive uno ya no disfruta uno asus hijos ya solo trae uno temor en que si regresará así balla a la esquina nuestros hijos me entristece muchisimo,,seguridad
che gobierno hipócrita,,seguridad
mejor que se use el dinero para buscar a los desaparecidos,,seguridad
bien por uds padres y madres valientes dios los cuide y proteja,,seguridad
q selo quiten me da risa,,seguridad
mexico vs mexico me da risa,,seguridad
espero encuentren pronto a sus seres queridos,,seguridad
interactuando,,seguridad
eso tendria que ser siempre no solo por el mundial,,seguridad
el turismo también aporta fortalece la economía es obvio que debe ser seguro porque criticamos todo,,seguridad
se me hizo un nudo en la garganta un abrazo a los familiares desde venezuela me gusta,,seguridad
solo para el mundial después seguirá la carnicería,,seguridad
y por que no han aplicado ese plan para proteger a los mexicanos,,seguridad
lemus preocúpate por el pueblo,,seguridad
y si mejor nos protegen a nosotros me da risa,,seguridad
interactuando para que se haga viral,,seguridad
si se puede cambiar esto es un ejemplo vamos méxico ojalá quedo esa vigilancia permanentemente,,seguridad
en méxico no existe la delincuencia y menos la desaparición recuerden que es desaparición voluntaria así como dice su presidenta no nos olvidemos de los que nos faltan,,seguridad
con ese plan se dan cuenta que si tienen todos los recursos para la seguridad pero no lo hacen,,seguridad
por qué los gobiernos de colombia y mexico se parecen tanto,,seguridad
combatir el narco nehhh proteger a weyes pateando un balón tráete a x force y hasta batman,,seguridad
bienvenidos a la realidad que kukulkán ni que uds son los verdaderos titi capy del crimen organizado son una cofradía de mafiosos y corruptos,,seguridad
proteger a los mexicanos proteger a los turistas,,seguridad
nada que ver una cosa con la otra,,seguridad
boicoteen el mundial,,seguridad
es algo stpido que gasten más en un juego que en algo que importe,,seguridad
este gobierno es una mierda pura mierda,,seguridad
manguito me da risa ifusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusiónj difusión difusión,,seguridad
a pero a los mexicanos que pagamos sus sueldos con nuestros impuestos que nos sigan desapareciendo y desviviendo fuera este gobierno corrupto,,seguridad
no soy de méxico pero como que hay más enfoque en el mundial que en su gente,,seguridad
pongan a kukulkán pero en todo méxico si pueden hacer eso por qué no por los mexicanos me da risa,,seguridad
la fifa deberían de suspender el mundial en méxico,,seguridad
too late ya se canceló mi viaje a mx y no pienso volver a pasar por la incertidumbre de si habrá balacera o no,,seguridad
no queremos mundial queremos que los desaparecidos regresen a casa,,seguridad
y los 130 millón es pa cuando a ya me acorde nosotros no dejamos millones de,,seguridad
la verdad para que queremos un mundial si la selección mexicana no va a ganar el mundial,,seguridad
que se cancele el mundial en mexico detodosmodos nunca ganamos,,seguridad
no vean tv azteca,,seguridad
protegenbal turista pero no al pueblo,,seguridad
pero ellos no tienen la culpa,,seguridad
ojalá y esos operativos se hicieran contra el narco,,seguridad
superhipo35 prefiero un méxico sin desaparecidos que un mundial espero que puedan encontrarlos y los familiares tengan paz,,seguridad
pero protesten,,seguridad
entonces la seguridad es cuestión de voluntad,,seguridad
de burla,,seguridad
si así nos cuidaran a los mexicanos,,seguridad
mientras tanto en los lugares que no vamos a recibir mundial vamos a estar bien desprotegidos,,seguridad
me dueles mexico me entristece mucho,,seguridad
pues chad no,,seguridad
para la seguridad durante la copa del mundo osea que los demás dias de año les vale vrg,,seguridad
méxico no merece el mundial de fútbol,,seguridad
que tristeza que para los desaparecidos no exista el más mínimo interés por parte del gobierno me entristece,,seguridad
hablando mucho de méxico y un pais vecino esta en guerra,,seguridad
pobres papás,,seguridad
que guerreros luchadores dios los bendiga y los proteja encuentren a sus desaparecidos amén,,seguridad
estamos con ustedes,,seguridad
mis oraciones para mexico y todos los padres que buscan a sus seres queridos,,seguridad
creo que como ciudadanos deberíamos demostrar indiferencia ante el mundial no participar en los eventos no gastar en absoluto nada con refente al mundial,,seguridad
asta los carteles los van a cuidar verdad narco gobierno,,seguridad
yo no veo gente levantando la voz pero si preocupados por los artistas,,seguridad
entonces sí tiene el gobierno la capacidad para desplegar un plan estratégico para brindar seguridad a las personas pero sólo lo usarán para el mundial,,seguridad
esque el gobierno es parte de los desaparecidos,,seguridad
y porque no lo han hecho en contra del narco y se hubieran perdido vidas de la guardia nacional,,seguridad
díganle a claudia q es la responsable,,seguridad
y si hay coches bombas como ya lo han hecho ahí también sabrán que es un coche bomba o como,,seguridad
el plan kukulcán decirle a sus amigos la maña que no hagan desmadre mientras está el mundial,,seguridad
súper buena idea este país no es perfecto como lo quiere pintar la presidena,,seguridad
no puede ni con los que vivimos en méxico menos con millones de turistas me da risa,,seguridad
jajajjajajjajs,,seguridad
este wey ya me da risa me da risa muchisimo,,seguridad
a los gobiernos no les importa ni el fútbol ni los jugadores solo les importa tener una cortina de humo,,seguridad
ni que regalen pasajes estadias comidas traslados y las entradas voy a méxico,,seguridad
wow y proteger a méxico siempre se les olvida,,seguridad
suena muy bonito ojalá así combatieran a la delincuencia organizada,,seguridad
justo acabo de escuchar un episodio de pepe y chema donde dicen que las fiscalías no tienen dinero para hojas para imprimir o tinta para los archivos que necesitan o al menos esa es la excusa que dan,,seguridad
que se cancele el mundial,,seguridad
plan kukulcán cagarla más,,seguridad
interactuemos,,seguridad
ósea solo pretegen extranjeros pero a nosotros los mexicanos nooooo,,seguridad
podría no haber asientos vacíos en el mundial pero sí hay casas familias que tienen una silla de su comedor vacía y un estadio lleno no significa nada a comparación de eso,,seguridad
méxico ni estados unidos merecen ser sede,,seguridad
osea van a cuidar el mundial en méxico y no a sus ciudadanos x estar los cuerpos policíacos muy ocupados,,seguridad
nunca olviden a sus hijos,,seguridad
entiendo la rabia a todos nos urge esa seguridad a diario pero el plan ese no es un regalo para los turistas es un requisito legal de la fifa si méxico no cumple nos quitan el evento y perdemos la inversión de nuestros impuestos pasó igual en brasil en rusia y en qatar es logística pura no preferencia,,seguridad
es sabido que los gobiernos gastan mucho dinero para promocionar su imagen y logros desgraciadamente las personas desaparecidas no son negocio que es lo que ahorita quieren tener por el mundial,,seguridad
la gente que se queja del mundial como si el mundial tuviera la culpa la culpa la tiene el gobierno y aparte casi todo el mundial se jugará en usa y canadá,,seguridad
deberian cambiar la sede por inseguridad,,seguridad
claudia dice que méxico súper bien,,seguridad
cancelen el mundial,,seguridad
para que no lo quiten el mundial que burla me da risa mucho,,seguridad
dios los bendiga e ilumine su camino,,seguridad
en la cara del mexicano se burlan los del gobierno morena,,seguridad
que peligro ir a méxico este va a ser el peor mundial de todos,,seguridad
están diciéndo que para extranjeros si hay seguridad pero para los mexicanos nuncaaa,,seguridad
exacto,,seguridad
recordar que los desaparecidos también son mexicanos me entristece,,seguridad
solo la gente entenderá cuando le pase a un familiar tristemente,,seguridad
haber el gobierno no destina ya dinero para la realización del mundial eso lo hace la federación de fútbol y los empresarios dos existen fiscalias especializadas en ese tema,,seguridad
y eso porque no lo hicieron con carlos manzo,,seguridad
esto debe de ser todos los días no solo por el evento,,seguridad
cancelen el mundial en méxico,,seguridad
no al mundial me enoja muchisimo,,seguridad
no pueden proteger a los mexicanos ahora quieren proteger todo un evento con extranjeros el gobierno solo quiere aparentar un bien que no es,,seguridad
quieren proteger a gente de fuera para un mundial pero a su gente no,,seguridad
dios mío tantas personas desaparecidas que triste de verdad,,seguridad
no queremos mundial queremos justicia,,seguridad
buen maquillaje para el espectáculo mientras tanto que continúen los juegos del hambre,,seguridad
que cancelen el mundial,,seguridad
y si hacemos el plan kukulkán permanente y no nada más en el mundial,,seguridad
soy peruano y ni así pienso ir,,seguridad
esos mundiales funcionan x tantos corruptos y x las personas aficionadas eso ya no ayuda en nada,,seguridad
oigan una pregunta en mi tierra también ay desaparecidos pero andan con esa propaganda sirve de algo pregunto,,seguridad
pq no ponen los letreros tmb en inglés para q los turistas entiendan q hay mucho mas cosas que cosas culturales en méxico,,seguridad
y por que no dejan el plan kukulkan de manera permanente para todos los ciudadanos mexicanos,,seguridad
que triste esa seguridad la necesita culiacan guanajuato jalisco y sobretodo las madres buscadores es que méxico esta así porque quiere,,seguridad
apoyo para los padres y madres que buscan a sus hij s,,seguridad
no al mundial,,seguridad
no entendí por que lo sacá si no a se nada los papeles ahí,,seguridad
la presidenta ya abrió una carpeta de investigación,,seguridad
ya no miren tv azteca,,seguridad
necesitamos mundiales las 24 horas de por vida en mexico,,seguridad
y los padres en casa qué hacemos por educar a nuestros hijos todo se lo queremos dejar a los gobiernos si nosotros no podemos con uno o dos hijos menos el gobierno no va a poder con millones,,seguridad
donde seles puede donar para los recursos que necesiten,,seguridad
me estás diciendo que se tiene que hacer todo eso para que se pueda jugar en paz un mundial allí,,seguridad
manguito me da risa ifusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusiónj difusión difusión,,seguridad
me da risa ifusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusiónj difusión difusión,,seguridad
realidad tan triste que vivimos,,seguridad
prefiero un méxico sin desaparecidos que un mundial espero que puedan encontrarlos y los familiares tengan paz,,seguridad
la presidente ya pactó tregua con su socio el narco,,seguridad
y porque toda esa fuerza y seguridad no la usan también para limpiar a cada estado y al país del crimen organizado,,seguridad
no queremos mundial me enoja,,seguridad
híjole va a pasar lo mismo que tlatelolco eh,,seguridad
y si exigimos que no sea lo del mundial,,seguridad
un abrazo a las familias apoyemos para que se hagan virales y los escuchen me entristece mucho,,seguridad
solo durante la copa ah que fregon me enoja,,seguridad
dios los cuide y proteja ojalá que pronto encuentren a sus seres queridos,,seguridad
si no hay paz para la gente que no haya paz para el gobierno,,seguridad
canada en crisis estados unidos en guerra méxico también en guerra pero interna,,seguridad
y si lo hacen el plan de seguridad todo el año no llámame loco,,seguridad
hoy hablamos de fútbol,,seguridad
nadie entiende este dolor hasta que lo vive en carne propia para los que prefieren el mundial y defienden la propaganda deseo que nunca tengan que pasar por una situación de un familiar conocido o amigo desaparecido porque cuando pasa ya no existe la paz ni para dormir,,seguridad
no queremos mundial queremos seguridad y paz,,seguridad
y le pusieron kukulkan me da risa muchisimo,,seguridad
no queremos mundial me enoja,,seguridad
por qué no dices el contexto quien negoció y firmó el contrato para el mundial fue el prian,,seguridad
este mundial está maldito ya verán lo q está x venir,,seguridad
alv el mundial queremos seguridad,,seguridad
es verdad,,seguridad
que ése tipo de seguridad sea para todo el país y permanente,,seguridad
se lo ban a quitar a méxico por el narco pero no a usa por literal estar en gerra me da risa,,seguridad
es una maldad que hagan este tipo de cosas con las familias que buscan a sus seres queridos,,seguridad
ideas caminar el dia del mundial en jalisco,,seguridad
estan marcando una diferencia y que tristeza que tantas familias sigan llorando por su desaparecido,,seguridad
y se acaba el mundial y todo vuelve a lo mismo,,seguridad
fuerza a las familias,,seguridad
lo que acabo de llorar con este video,,seguridad
hagamos una marcha el día del mundial,,seguridad
como dicen solo barres tu casa cuando vienen visitas,,seguridad
me dolió en el alma al escuchar para cuidar a los extranjeros asi nuestro país se preocupan por su gente me entristece,,seguridad
te odio te odio con todo mi ser gobierno de méxico,,seguridad
o sea que si se puede acabar la inseguridad en culiacan pero no quieren,,seguridad
ojalá no se haga ese mundial,,seguridad
me da risa alch qpdo porque solo cuando viene gente externa y no lo dejan para proteger a los mismos mexicanos vlv,,seguridad
se hará el mundial duele todo pero esto ya está también hecho,,seguridad
no pues ir que no hacen eso no solo durante el mundial,,seguridad
no queremos mundial queremos seguridad para el pias y nosotros los mexicanos vivamos en paz me enoja mucho,,seguridad
la verdad es admirable el coraje y determinación de todas estas familias,,seguridad
yo si estoy en contra del mundial hay temas de seguridad y salud que son mas importantes,,seguridad
que horrible realidad,,seguridad
poca vergüenza quien pagamos impuestos munde que me sirve,,seguridad
deberían de quitarle el mundial a estados unidos loreto,,seguridad
una manifestación grande el día del mundial,,seguridad
no es verdaaaad no vayaaaaan,,seguridad
no queremos el mundial en méxico no queremos el mundial en jalisco,,seguridad
ah entonces si se puede dar seguridad pero no para nosotros que interesante,,seguridad
15 días después que nos lleve la porra a todos méxico igual de inseguro,,seguridad
el mundial no trae ningún beneficio al país anfitrión solo hay que investigar el desastre que ocurrió en cada país anfitrión del mundial,,seguridad
no hay seguridad para nosotros los mexicanos cómo quieren asegurar a los extranjeros,,seguridad
así pongan un millón de agentes de nada sirve si todos son corruptos,,seguridad
me da risa se pasan es mejor proteger a los turistas no,,seguridad
camila te seguimos buscando,,seguridad
lamentablemente así es gastan en cosas que ni al caso y nosotros que tenemos un desaparecido ni nos voltean a ver me entristece,,seguridad
mas de 23000 millones gastados y mal gastados,,seguridad
tampoco estados unidos es seguro con sus guerras,,seguridad
justicia,,seguridad
alcemos la voz,,seguridad
ojalá todos pudieran regresar con bien a su casa,,seguridad
espero puedan encontrar cada una de las familias a sus desaparecidos y el apoyo total,,seguridad
esto es importante que escuchen todos los gobiernos y los pueblos las personas son importantes,,seguridad
presiento que algo muy malo pasara yo no iría a ningún estadio a andaría en las calles en esas fechas,,seguridad
pero la presidenta dice que todo esta excelente y nada de esto pasa,,seguridad
este problema tiene años y el gobierno no muestra acciones por colaborar de manera efectiva en la búsqueda de personas desaparecidas miran hacia otro lado y con el mundial encima menos atenderán esta necesidad que debe ser prioritaria mis mejores deseos para que encuentren a sus familiares desaparecidos,,seguridad
pan y circo control me entristece,,seguridad
plan kukulkán es todo el año no solo en mundial,,seguridad
justicia,,seguridad
no estamos en contra del mundia,,seguridad
yo si quiero el mundial pero creo que no se debió a ver aceptado el torneo ya que ahorita hay demasiados desaparecidos,,seguridad
eso significa después del mundial seguiremos igual o peor me gusta,,seguridad
y aparte el gobierno gastando millones para los 2 3 partidos pedorros que van a tener,,seguridad
señor porque no decían nada antes porque haora me enoja mucho,,seguridad
muy cierto no se dan de cuenta que hay realmente prioridades me entristece mucho,,seguridad
el bicho campeón,,seguridad
pues no es culpa de los que traen los mundiales si no de la gente que asiste a los partidos sin ellos no habría mundial,,seguridad
superhipo35 prefiero un méxico sin desaparecidos que un mundial espero que puedan encontrarlos y los familiares tengan paz,,seguridad
el sipisapo de seguridad,,seguridad
brkn void me da risa ifusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusiónj difusión difusión,,seguridad
mucho activismo en los comentarios pero la mayoría compraron los álbumes qué es una ganancia para ellos y van hasta endeudarse alguno para ir al mundial,,seguridad
no pueden protegernos a nosotros ah pero que tal a los visitantes es una burla más me da risa mucho,,seguridad
entonces solo habrá seguridad por el mundial me entristece,,seguridad
que triste que solo por presión extranjera este gobierno mediocre haga lo que tiene que hacer,,seguridad
aquí en méxico se preocupa más por pendejadas como el mundial que por las cosas que verdaderamente importa a si es méxico,,seguridad
es ridículo que solo por el mundial desplieguen tanta seguridad así eso debió haber sido hace años y siempre,,seguridad
no pues entonces que nunca se vayan los turistas caray para estar más protegidos,,seguridad
wey y porque no ablas de eeuu de nada,,seguridad
se dan cuenta que eso lo podrían hacer sin el mundial y no lo hacen,,seguridad
a la muy malo el mundial,,seguridad
dos puntos el primero hagan una manifestación durante los partidos del mundial afuera de los estadios en las zonas donde habrá pantallas para ver los partidos y etc habrá medios de todo el mundo y gente de muchos países que posiblemente lleguen a grabar y se haga noticia mundial cierren también algunas calles para hacer más tardado el acceso a los partidos asi podrán ser más escuchados y tendrán la ayuda que necesitan segundo punto la mayoría del dinero invertido para remodelaciones decoraciones etc es por parte de la fifa el gobierno solo pone una pequeña parte realmente el gobierno si quisiera ayudar ya hubiera destinado más fondos a eso pero simplemente no quiere amo el fútbol y estoy a favor del mundial pero sinceramente no sería lo mismo si mi madre me gusta hermana o amigos no estuvieran para verlo a mi lado ojalá que encuentren a sus familiares y que vivan en paz esperemos que sean escuchados y que el gobierno haga algo,,seguridad
es más importante el mundial,,seguridad
y mas de 200 mdp en remodelacion en jalisco que tristeza,,seguridad
que hagan su trabajo no mundial tantas carencias necesidades para el mundial deberían plantarse en los estadios lo familiares de desaparecidos en protesta para que el mundo se de cuenta de lo que se vive,,seguridad
los que vallan a mexico,,seguridad
pues que no se pierdan y ya,,seguridad
se nota el dolor en sus palabras perder un familiar debe ser terrible espero algún día aparezcan me gusta me entristece,,seguridad
como me dueles méxico me entristece mucho,,seguridad
difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusiónj difusión difusión,,seguridad
en estos momentos el mundial es importante,,seguridad
se me apachurra el corazón me entristece,,seguridad
si debemos estar en contra del mundial es un gasto innecesario para el mundo mientras hay temas como este que realmente si importan,,seguridad
