comentario,categoria,etiqueta_estimada,etiqueta_real,confianza
y sin el mundial no lo van a hacer o qué,seguridad,1,,0.5387250185012817
ojo turistas tienen 15 días antes del mundial para entrar y 15 días después del mundial para salir después el gobierno no es responsable de lo que les pase,seguridad,1,,0.5483962297439575
igual que en todos los países que pena,seguridad,1,,0.5151740908622742
osea si hay tecnología y dinero para cuidar a extranjeros pero para proteger en méxico a los mexicanos nadota,seguridad,1,,0.7039921283721924
presidente pon tu denuncia,seguridad,1,,0.793378472328186
quieren tapar lo que no se puede ocultar todo lo que pasa a diario,seguridad,2,,0.4763686954975128
por que no usan ese despliegue para pelear contra los narcos,seguridad,1,,0.7710066437721252
por qué tik tok no nos deja hacer repost,seguridad,3,,0.3404003381729126
y así claudia dice que no vean tv azteca más bien no quiere que vean sus errores cómo líder,seguridad,2,,0.39093804359436035
no me gusta el gobierno gasta millones en un torneo que nisiquiera vamos a ganar me da risa,seguridad,1,,0.8730169534683228
es una burla para las y los mexicanos,seguridad,1,,0.8348067998886108
ojalá así fuera la seguridad y compromiso siempre no cabe duda que a este gobierno el pueblo le malo,seguridad,1,,0.8337243795394897
y estados unidos no se lo van a quitar esta en plena guerra,seguridad,1,,0.593778669834137
nadie deberia comprar esos boletos tan caros no lo valen,seguridad,1,,0.8527852296829224
proteger a méxico durante el mundial chale bro está claro que no merecemos ser una sede del mundial,seguridad,1,,0.6854704022407532
con el estado sinaloa ya se demostró que méxico es un país fallido,seguridad,1,,0.7968165278434753
peña nieto trajo el mundial,seguridad,5,,0.4628191888332367
nos traicionó el sistema,seguridad,1,,0.7171714305877686
y cuando nos van a proteger a nosotros,seguridad,3,,0.49570655822753906
y q podrian hacer decir no al mundial y seguir como siempre,seguridad,1,,0.596710741519928
seguridad gobierno solo seguridad esto está de terror ya no vive uno ya no disfruta uno asus hijos ya solo trae uno temor en que si regresará así balla a la esquina nuestros hijos me entristece muchisimo,seguridad,1,,0.9743066430091858
che gobierno hipócrita,seguridad,1,,0.791113018989563
mejor que se use el dinero para buscar a los desaparecidos,seguridad,1,,0.8493073582649231
bien por uds padres y madres valientes dios los cuide y proteja,seguridad,4,,0.5605135560035706
q selo quiten me da risa,seguridad,3,,0.5446967482566833
mexico vs mexico me da risa,seguridad,3,,0.3595863878726959
espero encuentren pronto a sus seres queridos,seguridad,3,,0.471680223941803
interactuando,seguridad,4,,0.44236844778060913
eso tendria que ser siempre no solo por el mundial,seguridad,3,,0.44620493054389954
el turismo también aporta fortalece la economía es obvio que debe ser seguro porque criticamos todo,seguridad,3,,0.33954760432243347
se me hizo un nudo en la garganta un abrazo a los familiares desde venezuela me gusta,seguridad,3,,0.36678385734558105
solo para el mundial después seguirá la carnicería,seguridad,2,,0.46441149711608887
y por que no han aplicado ese plan para proteger a los mexicanos,seguridad,1,,0.9005376100540161
lemus preocúpate por el pueblo,seguridad,1,,0.6910253763198853
y si mejor nos protegen a nosotros me da risa,seguridad,2,,0.5492357015609741
interactuando para que se haga viral,seguridad,1,,0.5125178694725037
si se puede cambiar esto es un ejemplo vamos méxico ojalá quedo esa vigilancia permanentemente,seguridad,1,,0.41894492506980896
en méxico no existe la delincuencia y menos la desaparición recuerden que es desaparición voluntaria así como dice su presidenta no nos olvidemos de los que nos faltan,seguridad,1,,0.9737971425056458
con ese plan se dan cuenta que si tienen todos los recursos para la seguridad pero no lo hacen,seguridad,2,,0.49850401282310486
por qué los gobiernos de colombia y mexico se parecen tanto,seguridad,3,,0.4700550436973572
combatir el narco nehhh proteger a weyes pateando un balón tráete a x force y hasta batman,seguridad,1,,0.6503078937530518
bienvenidos a la realidad que kukulkán ni que uds son los verdaderos titi capy del crimen organizado son una cofradía de mafiosos y corruptos,seguridad,1,,0.47159895300865173
proteger a los mexicanos proteger a los turistas,seguridad,1,,0.780232846736908
nada que ver una cosa con la otra,seguridad,2,,0.37684759497642517
boicoteen el mundial,seguridad,1,,0.9411758184432983
es algo stpido que gasten más en un juego que en algo que importe,seguridad,2,,0.46956101059913635
este gobierno es una mierda pura mierda,seguridad,1,,0.9858113527297974
manguito me da risa ifusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusiónj difusión difusión,seguridad,1,,0.6663094758987427
a pero a los mexicanos que pagamos sus sueldos con nuestros impuestos que nos sigan desapareciendo y desviviendo fuera este gobierno corrupto,seguridad,1,,0.8338328003883362
no soy de méxico pero como que hay más enfoque en el mundial que en su gente,seguridad,3,,0.41588547825813293
pongan a kukulkán pero en todo méxico si pueden hacer eso por qué no por los mexicanos me da risa,seguridad,4,,0.42149582505226135
la fifa deberían de suspender el mundial en méxico,seguridad,1,,0.8372548818588257
too late ya se canceló mi viaje a mx y no pienso volver a pasar por la incertidumbre de si habrá balacera o no,seguridad,1,,0.6299830079078674
no queremos mundial queremos que los desaparecidos regresen a casa,seguridad,1,,0.9725292921066284
y los 130 millón es pa cuando a ya me acorde nosotros no dejamos millones de,seguridad,3,,0.5881736874580383
la verdad para que queremos un mundial si la selección mexicana no va a ganar el mundial,seguridad,1,,0.6345865726470947
que se cancele el mundial en mexico detodosmodos nunca ganamos,seguridad,1,,0.9099856615066528
no vean tv azteca,seguridad,3,,0.36499249935150146
protegenbal turista pero no al pueblo,seguridad,1,,0.4475679099559784
pero ellos no tienen la culpa,seguridad,2,,0.41586676239967346
ojalá y esos operativos se hicieran contra el narco,seguridad,1,,0.7530374526977539
superhipo35 prefiero un méxico sin desaparecidos que un mundial espero que puedan encontrarlos y los familiares tengan paz,seguridad,5,,0.36451637744903564
pero protesten,seguridad,3,,0.3320540189743042
entonces la seguridad es cuestión de voluntad,seguridad,2,,0.4625520408153534
de burla,seguridad,1,,0.5997076630592346
si así nos cuidaran a los mexicanos,seguridad,3,,0.43960750102996826
mientras tanto en los lugares que no vamos a recibir mundial vamos a estar bien desprotegidos,seguridad,1,,0.5823565721511841
me dueles mexico me entristece mucho,seguridad,2,,0.5304110646247864
pues chad no,seguridad,2,,0.4158785343170166
para la seguridad durante la copa del mundo osea que los demás dias de año les vale vrg,seguridad,2,,0.6178556084632874
méxico no merece el mundial de fútbol,seguridad,1,,0.9181471467018127
que tristeza que para los desaparecidos no exista el más mínimo interés por parte del gobierno me entristece,seguridad,1,,0.858174204826355
hablando mucho de méxico y un pais vecino esta en guerra,seguridad,2,,0.3718508780002594
pobres papás,seguridad,2,,0.46330520510673523
que guerreros luchadores dios los bendiga y los proteja encuentren a sus desaparecidos amén,seguridad,1,,0.4304654598236084
estamos con ustedes,seguridad,3,,0.5560183525085449
mis oraciones para mexico y todos los padres que buscan a sus seres queridos,seguridad,3,,0.3667849600315094
creo que como ciudadanos deberíamos demostrar indiferencia ante el mundial no participar en los eventos no gastar en absoluto nada con refente al mundial,seguridad,1,,0.9427317380905151
asta los carteles los van a cuidar verdad narco gobierno,seguridad,1,,0.9362993240356445
yo no veo gente levantando la voz pero si preocupados por los artistas,seguridad,2,,0.36668285727500916
entonces sí tiene el gobierno la capacidad para desplegar un plan estratégico para brindar seguridad a las personas pero sólo lo usarán para el mundial,seguridad,2,,0.4482399821281433
esque el gobierno es parte de los desaparecidos,seguridad,1,,0.8801165223121643
y porque no lo han hecho en contra del narco y se hubieran perdido vidas de la guardia nacional,seguridad,1,,0.8254108428955078
díganle a claudia q es la responsable,seguridad,3,,0.46379053592681885
y si hay coches bombas como ya lo han hecho ahí también sabrán que es un coche bomba o como,seguridad,3,,0.5034114718437195
el plan kukulcán decirle a sus amigos la maña que no hagan desmadre mientras está el mundial,seguridad,3,,0.3456743359565735
súper buena idea este país no es perfecto como lo quiere pintar la presidena,seguridad,1,,0.3540981113910675
no puede ni con los que vivimos en méxico menos con millones de turistas me da risa,seguridad,1,,0.8610456585884094
jajajjajajjajs,seguridad,3,,0.5174654722213745
este wey ya me da risa me da risa muchisimo,seguridad,3,,0.45754435658454895
a los gobiernos no les importa ni el fútbol ni los jugadores solo les importa tener una cortina de humo,seguridad,1,,0.7778804898262024
ni que regalen pasajes estadias comidas traslados y las entradas voy a méxico,seguridad,2,,0.4168733060359955
wow y proteger a méxico siempre se les olvida,seguridad,1,,0.4393669366836548
suena muy bonito ojalá así combatieran a la delincuencia organizada,seguridad,1,,0.5194422006607056
justo acabo de escuchar un episodio de pepe y chema donde dicen que las fiscalías no tienen dinero para hojas para imprimir o tinta para los archivos que necesitan o al menos esa es la excusa que dan,seguridad,1,,0.46429261565208435
que se cancele el mundial,seguridad,1,,0.8255173563957214
plan kukulcán cagarla más,seguridad,3,,0.4316849112510681
interactuemos,seguridad,4,,0.36106663942337036
ósea solo pretegen extranjeros pero a nosotros los mexicanos nooooo,seguridad,1,,0.7644892930984497
podría no haber asientos vacíos en el mundial pero sí hay casas familias que tienen una silla de su comedor vacía y un estadio lleno no significa nada a comparación de eso,seguridad,4,,0.396291047334671
méxico ni estados unidos merecen ser sede,seguridad,3,,0.39858704805374146
osea van a cuidar el mundial en méxico y no a sus ciudadanos x estar los cuerpos policíacos muy ocupados,seguridad,1,,0.7820228934288025
nunca olviden a sus hijos,seguridad,1,,0.3188175559043884
entiendo la rabia a todos nos urge esa seguridad a diario pero el plan ese no es un regalo para los turistas es un requisito legal de la fifa si méxico no cumple nos quitan el evento y perdemos la inversión de nuestros impuestos pasó igual en brasil en rusia y en qatar es logística pura no preferencia,seguridad,1,,0.6916766166687012
es sabido que los gobiernos gastan mucho dinero para promocionar su imagen y logros desgraciadamente las personas desaparecidas no son negocio que es lo que ahorita quieren tener por el mundial,seguridad,1,,0.8617474436759949
la gente que se queja del mundial como si el mundial tuviera la culpa la culpa la tiene el gobierno y aparte casi todo el mundial se jugará en usa y canadá,seguridad,1,,0.7500618696212769
deberian cambiar la sede por inseguridad,seguridad,1,,0.9751582741737366
claudia dice que méxico súper bien,seguridad,5,,0.5503008365631104
cancelen el mundial,seguridad,1,,0.9171254634857178
para que no lo quiten el mundial que burla me da risa mucho,seguridad,1,,0.5359283685684204
dios los bendiga e ilumine su camino,seguridad,3,,0.42857638001441956
en la cara del mexicano se burlan los del gobierno morena,seguridad,1,,0.7851263880729675
que peligro ir a méxico este va a ser el peor mundial de todos,seguridad,1,,0.9580499529838562
están diciéndo que para extranjeros si hay seguridad pero para los mexicanos nuncaaa,seguridad,1,,0.4989203214645386
exacto,seguridad,3,,0.38042151927948
recordar que los desaparecidos también son mexicanos me entristece,seguridad,1,,0.8182189464569092
solo la gente entenderá cuando le pase a un familiar tristemente,seguridad,1,,0.7291529774665833
haber el gobierno no destina ya dinero para la realización del mundial eso lo hace la federación de fútbol y los empresarios dos existen fiscalias especializadas en ese tema,seguridad,1,,0.7637311220169067
y eso porque no lo hicieron con carlos manzo,seguridad,3,,0.42180898785591125
esto debe de ser todos los días no solo por el evento,seguridad,2,,0.39674222469329834
cancelen el mundial en méxico,seguridad,1,,0.8936766982078552
no al mundial me enoja muchisimo,seguridad,1,,0.7324790358543396
no pueden proteger a los mexicanos ahora quieren proteger todo un evento con extranjeros el gobierno solo quiere aparentar un bien que no es,seguridad,1,,0.9523468017578125
quieren proteger a gente de fuera para un mundial pero a su gente no,seguridad,1,,0.5085858106613159
dios mío tantas personas desaparecidas que triste de verdad,seguridad,1,,0.7394582629203796
no queremos mundial queremos justicia,seguridad,1,,0.9877957105636597
buen maquillaje para el espectáculo mientras tanto que continúen los juegos del hambre,seguridad,4,,0.518927276134491
que cancelen el mundial,seguridad,1,,0.8918285369873047
y si hacemos el plan kukulkán permanente y no nada más en el mundial,seguridad,2,,0.48032131791114807
soy peruano y ni así pienso ir,seguridad,3,,0.36820200085639954
esos mundiales funcionan x tantos corruptos y x las personas aficionadas eso ya no ayuda en nada,seguridad,1,,0.9569212198257446
oigan una pregunta en mi tierra también ay desaparecidos pero andan con esa propaganda sirve de algo pregunto,seguridad,1,,0.9080821871757507
pq no ponen los letreros tmb en inglés para q los turistas entiendan q hay mucho mas cosas que cosas culturales en méxico,seguridad,1,,0.4142429530620575
y por que no dejan el plan kukulkan de manera permanente para todos los ciudadanos mexicanos,seguridad,1,,0.6422421336174011
que triste esa seguridad la necesita culiacan guanajuato jalisco y sobretodo las madres buscadores es que méxico esta así porque quiere,seguridad,1,,0.7682421803474426
apoyo para los padres y madres que buscan a sus hij s,seguridad,4,,0.5626586675643921
no al mundial,seguridad,1,,0.9196574687957764
no entendí por que lo sacá si no a se nada los papeles ahí,seguridad,1,,0.5478758215904236
la presidenta ya abrió una carpeta de investigación,seguridad,3,,0.30080124735832214
ya no miren tv azteca,seguridad,1,,0.5386672616004944
necesitamos mundiales las 24 horas de por vida en mexico,seguridad,3,,0.3870267868041992
y los padres en casa qué hacemos por educar a nuestros hijos todo se lo queremos dejar a los gobiernos si nosotros no podemos con uno o dos hijos menos el gobierno no va a poder con millones,seguridad,1,,0.42764145135879517
donde seles puede donar para los recursos que necesiten,seguridad,4,,0.4399898052215576
me estás diciendo que se tiene que hacer todo eso para que se pueda jugar en paz un mundial allí,seguridad,1,,0.38184648752212524
manguito me da risa ifusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusiónj difusión difusión,seguridad,1,,0.6663094758987427
me da risa ifusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusiónj difusión difusión,seguridad,1,,0.47962331771850586
realidad tan triste que vivimos,seguridad,1,,0.8030820488929749
prefiero un méxico sin desaparecidos que un mundial espero que puedan encontrarlos y los familiares tengan paz,seguridad,1,,0.8849939703941345
la presidente ya pactó tregua con su socio el narco,seguridad,1,,0.677314817905426
y porque toda esa fuerza y seguridad no la usan también para limpiar a cada estado y al país del crimen organizado,seguridad,1,,0.8925315141677856
no queremos mundial me enoja,seguridad,1,,0.960747241973877
híjole va a pasar lo mismo que tlatelolco eh,seguridad,3,,0.5513991117477417
y si exigimos que no sea lo del mundial,seguridad,1,,0.4344000518321991
un abrazo a las familias apoyemos para que se hagan virales y los escuchen me entristece mucho,seguridad,2,,0.6125795245170593
solo durante la copa ah que fregon me enoja,seguridad,2,,0.5280870795249939
dios los cuide y proteja ojalá que pronto encuentren a sus seres queridos,seguridad,4,,0.3909902274608612
si no hay paz para la gente que no haya paz para el gobierno,seguridad,1,,0.8867085576057434
canada en crisis estados unidos en guerra méxico también en guerra pero interna,seguridad,1,,0.5127612352371216
y si lo hacen el plan de seguridad todo el año no llámame loco,seguridad,2,,0.43359148502349854
hoy hablamos de fútbol,seguridad,3,,0.5236415266990662
nadie entiende este dolor hasta que lo vive en carne propia para los que prefieren el mundial y defienden la propaganda deseo que nunca tengan que pasar por una situación de un familiar conocido o amigo desaparecido porque cuando pasa ya no existe la paz ni para dormir,seguridad,1,,0.9311307072639465
no queremos mundial queremos seguridad y paz,seguridad,1,,0.9836418628692627
y le pusieron kukulkan me da risa muchisimo,seguridad,2,,0.5095089673995972
no queremos mundial me enoja,seguridad,1,,0.960747241973877
por qué no dices el contexto quien negoció y firmó el contrato para el mundial fue el prian,seguridad,3,,0.35321399569511414
este mundial está maldito ya verán lo q está x venir,seguridad,1,,0.9273555874824524
alv el mundial queremos seguridad,seguridad,5,,0.46139267086982727
es verdad,seguridad,3,,0.5664628744125366
que ése tipo de seguridad sea para todo el país y permanente,seguridad,1,,0.5285314321517944
se lo ban a quitar a méxico por el narco pero no a usa por literal estar en gerra me da risa,seguridad,1,,0.6564226746559143
es una maldad que hagan este tipo de cosas con las familias que buscan a sus seres queridos,seguridad,1,,0.9667478203773499
ideas caminar el dia del mundial en jalisco,seguridad,3,,0.38695648312568665
estan marcando una diferencia y que tristeza que tantas familias sigan llorando por su desaparecido,seguridad,1,,0.7860043048858643
y se acaba el mundial y todo vuelve a lo mismo,seguridad,3,,0.5178707838058472
fuerza a las familias,seguridad,3,,0.3990711569786072
lo que acabo de llorar con este video,seguridad,2,,0.5270878672599792
hagamos una marcha el día del mundial,seguridad,5,,0.4523577094078064
como dicen solo barres tu casa cuando vienen visitas,seguridad,3,,0.4323522746562958
me dolió en el alma al escuchar para cuidar a los extranjeros asi nuestro país se preocupan por su gente me entristece,seguridad,1,,0.6827463507652283
te odio te odio con todo mi ser gobierno de méxico,seguridad,1,,0.660155177116394
o sea que si se puede acabar la inseguridad en culiacan pero no quieren,seguridad,1,,0.9562715291976929
ojalá no se haga ese mundial,seguridad,1,,0.7171273231506348
me da risa alch qpdo porque solo cuando viene gente externa y no lo dejan para proteger a los mismos mexicanos vlv,seguridad,3,,0.37830284237861633
se hará el mundial duele todo pero esto ya está también hecho,seguridad,3,,0.4578608572483063
no pues ir que no hacen eso no solo durante el mundial,seguridad,1,,0.5088667869567871
no queremos mundial queremos seguridad para el pias y nosotros los mexicanos vivamos en paz me enoja mucho,seguridad,1,,0.9735485315322876
la verdad es admirable el coraje y determinación de todas estas familias,seguridad,5,,0.8900849223136902
yo si estoy en contra del mundial hay temas de seguridad y salud que son mas importantes,seguridad,2,,0.5387147665023804
que horrible realidad,seguridad,1,,0.9613790512084961
poca vergüenza quien pagamos impuestos munde que me sirve,seguridad,1,,0.9024103283882141
deberían de quitarle el mundial a estados unidos loreto,seguridad,1,,0.44859054684638977
una manifestación grande el día del mundial,seguridad,1,,0.7234007716178894
no es verdaaaad no vayaaaaan,seguridad,1,,0.48151934146881104
no queremos el mundial en méxico no queremos el mundial en jalisco,seguridad,1,,0.887193500995636
ah entonces si se puede dar seguridad pero no para nosotros que interesante,seguridad,3,,0.4791725277900696
15 días después que nos lleve la porra a todos méxico igual de inseguro,seguridad,1,,0.9795408844947815
el mundial no trae ningún beneficio al país anfitrión solo hay que investigar el desastre que ocurrió en cada país anfitrión del mundial,seguridad,1,,0.9480748772621155
no hay seguridad para nosotros los mexicanos cómo quieren asegurar a los extranjeros,seguridad,1,,0.8838827610015869
así pongan un millón de agentes de nada sirve si todos son corruptos,seguridad,1,,0.9070322513580322
me da risa se pasan es mejor proteger a los turistas no,seguridad,2,,0.5662645697593689
camila te seguimos buscando,seguridad,3,,0.483595609664917
lamentablemente así es gastan en cosas que ni al caso y nosotros que tenemos un desaparecido ni nos voltean a ver me entristece,seguridad,1,,0.7632033824920654
mas de 23000 millones gastados y mal gastados,seguridad,1,,0.6509154438972473
tampoco estados unidos es seguro con sus guerras,seguridad,1,,0.519066572189331
justicia,seguridad,1,,0.8792099356651306
alcemos la voz,seguridad,3,,0.43400517106056213
ojalá todos pudieran regresar con bien a su casa,seguridad,2,,0.5206767320632935
espero puedan encontrar cada una de las familias a sus desaparecidos y el apoyo total,seguridad,1,,0.6841000318527222
esto es importante que escuchen todos los gobiernos y los pueblos las personas son importantes,seguridad,3,,0.4259378910064697
presiento que algo muy malo pasara yo no iría a ningún estadio a andaría en las calles en esas fechas,seguridad,1,,0.5024973154067993
pero la presidenta dice que todo esta excelente y nada de esto pasa,seguridad,4,,0.47961562871932983
este problema tiene años y el gobierno no muestra acciones por colaborar de manera efectiva en la búsqueda de personas desaparecidas miran hacia otro lado y con el mundial encima menos atenderán esta necesidad que debe ser prioritaria mis mejores deseos para que encuentren a sus familiares desaparecidos,seguridad,1,,0.881328284740448
pan y circo control me entristece,seguridad,2,,0.5814168453216553
plan kukulkán es todo el año no solo en mundial,seguridad,3,,0.4925708770751953
justicia,seguridad,1,,0.8792099356651306
no estamos en contra del mundia,seguridad,1,,0.49287062883377075
yo si quiero el mundial pero creo que no se debió a ver aceptado el torneo ya que ahorita hay demasiados desaparecidos,seguridad,3,,0.388276606798172
eso significa después del mundial seguiremos igual o peor me gusta,seguridad,3,,0.5311707854270935
y aparte el gobierno gastando millones para los 2 3 partidos pedorros que van a tener,seguridad,1,,0.5324710607528687
señor porque no decían nada antes porque haora me enoja mucho,seguridad,1,,0.33410370349884033
muy cierto no se dan de cuenta que hay realmente prioridades me entristece mucho,seguridad,2,,0.49762624502182007
el bicho campeón,seguridad,5,,0.4405537247657776
pues no es culpa de los que traen los mundiales si no de la gente que asiste a los partidos sin ellos no habría mundial,seguridad,1,,0.5520496368408203
superhipo35 prefiero un méxico sin desaparecidos que un mundial espero que puedan encontrarlos y los familiares tengan paz,seguridad,5,,0.36451613903045654
el sipisapo de seguridad,seguridad,3,,0.3642786145210266
brkn void me da risa ifusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusiónj difusión difusión,seguridad,1,,0.6475622653961182
mucho activismo en los comentarios pero la mayoría compraron los álbumes qué es una ganancia para ellos y van hasta endeudarse alguno para ir al mundial,seguridad,2,,0.3417239487171173
no pueden protegernos a nosotros ah pero que tal a los visitantes es una burla más me da risa mucho,seguridad,1,,0.5599263310432434
entonces solo habrá seguridad por el mundial me entristece,seguridad,2,,0.47051212191581726
que triste que solo por presión extranjera este gobierno mediocre haga lo que tiene que hacer,seguridad,1,,0.9038536548614502
aquí en méxico se preocupa más por pendejadas como el mundial que por las cosas que verdaderamente importa a si es méxico,seguridad,1,,0.7822848558425903
es ridículo que solo por el mundial desplieguen tanta seguridad así eso debió haber sido hace años y siempre,seguridad,1,,0.6807199120521545
no pues entonces que nunca se vayan los turistas caray para estar más protegidos,seguridad,1,,0.4742567539215088
wey y porque no ablas de eeuu de nada,seguridad,2,,0.38256505131721497
se dan cuenta que eso lo podrían hacer sin el mundial y no lo hacen,seguridad,1,,0.559098482131958
a la muy malo el mundial,seguridad,1,,0.9046502113342285
dos puntos el primero hagan una manifestación durante los partidos del mundial afuera de los estadios en las zonas donde habrá pantallas para ver los partidos y etc habrá medios de todo el mundo y gente de muchos países que posiblemente lleguen a grabar y se haga noticia mundial cierren también algunas calles para hacer más tardado el acceso a los partidos asi podrán ser más escuchados y tendrán la ayuda que necesitan segundo punto la mayoría del dinero invertido para remodelaciones decoraciones etc es por parte de la fifa el gobierno solo pone una pequeña parte realmente el gobierno si quisiera ayudar ya hubiera destinado más fondos a eso pero simplemente no quiere amo el fútbol y estoy a favor del mundial pero sinceramente no sería lo mismo si mi madre me gusta hermana o amigos no estuvieran para verlo a mi lado ojalá que encuentren a sus familiares y que vivan en paz esperemos que sean escuchados y que el gobierno haga algo,seguridad,2,,0.7445322871208191
es más importante el mundial,seguridad,3,,0.5431745648384094
y mas de 200 mdp en remodelacion en jalisco que tristeza,seguridad,1,,0.8196539282798767
que hagan su trabajo no mundial tantas carencias necesidades para el mundial deberían plantarse en los estadios lo familiares de desaparecidos en protesta para que el mundo se de cuenta de lo que se vive,seguridad,1,,0.8239057660102844
los que vallan a mexico,seguridad,1,,0.41641196608543396
pues que no se pierdan y ya,seguridad,3,,0.4036095440387726
se nota el dolor en sus palabras perder un familiar debe ser terrible espero algún día aparezcan me gusta me entristece,seguridad,1,,0.5648155808448792
como me dueles méxico me entristece mucho,seguridad,2,,0.5033059120178223
difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusión difusiónj difusión difusión,seguridad,4,,0.2965998649597168
en estos momentos el mundial es importante,seguridad,5,,0.6102294921875
se me apachurra el corazón me entristece,seguridad,2,,0.599939227104187
si debemos estar en contra del mundial es un gasto innecesario para el mundo mientras hay temas como este que realmente si importan,seguridad,1,,0.4978041350841522
que dios me gusta les bendiga y logren encontrar a sus hijos,seguridad,5,,0.49604547023773193
no bueno el pan naranja fue lo mismo q fox anunciando un cambio real pero realmente dió atole con el dedo fuerza hermanos jaliscienses,seguridad,1,,0.6768003106117249
que triste saber que el gobierno no le interesa su país,seguridad,1,,0.9141713380813599
cómo romperme el corazón en segundos nuestros desaparecidos muchos jugaban fútbol,seguridad,1,,0.7850605845451355
queeeee,seguridad,2,,0.6173701286315918
la gran mayoría de investigación es privada el gobierno solo gasta en remodelasion pública pero ese es su trabajo,seguridad,2,,0.3245241641998291
