comentario,rango_humano,,,,,,
@Beatrice🍓:@☆ manguito 🥭: :DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓNj🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻,,,,,,,
"Que bueno, por lo que estan haciendo, muestren la realidad que vivimos, Dios los ayude, tanto en lo económico, como lo espiritual, porque es horrible no saber donde esta tu hijo e o hija.😁🥰❤️",,,,,,,
"No queremos mundial, queremos seguridad ✊🏼",,,,,,,
"Digan NO AL MUNDIAL EN MÉXICO, no es seguro!!",,,,,,,
Heeeey turistas. No crean todo esto… ni aviones tenemos 😂😂😂,,,,,,,
"Y ¿por qué no han querido hacer eso desde el sexenio pasado en todo el país para proteger a todos los mexicanos?, una vez más demuestran que no les importamos. Harán todo esto porque les urge tener al mundial",,,,,,,
Interactuando por empatía espero logren algún día encontrar paz 🫂,,,,,,,
Consejo de un mexicano… Si tienes la oportunidad de venir al mundial por favor desaprovecha lo no es nada seguro 😏,,,,,,,
eso no tiene nada que ver con el mundial,,,,,,,
que vergüenza Mi México 🥺🥹,,,,,,,
Ósea que a nuestro gobierno le importan más los gringos y la gente extranjera que su propia gente nacida en MÉXICO? Chaleee,,,,,,,
que horror me duele mis hermanos hispanos como los políticos los abandonan por un sueldo y vivir como millonarios,,,,,,,
FIFA debería de sacar a México del mundial,,,,,,,
"me gusta mucho el fut, pero dada las circunstancias ni me emociona nada el mundial ... prefiero otro México que un mundial",,,,,,,
Justicia para todos los desaparecidos! Es muy grave lo que están viviendo,,,,,,,
interactuando 😢,,,,,,,
Y sin el mundial no lo van a hacer o qué?,,,,,,,
Ojo turistas tienen 15 días antes del mundial para entrar y 15 días después del mundial para salir después el gobierno no es responsable de lo que les pase,,,,,,,
"igual que en todos los países, que pena 🥺",,,,,,,
Osea si hay tecnología y dinero para cuidar a extranjeros pero para proteger en México a los mexicanos nadota,,,,,,,
presidente: pon tu denuncia,,,,,,,
"Quieren tapar lo que no se puede ocultar, todo lo que pasa a diario",,,,,,,
por que no usan ese despliegue para pelear contra los narcos?????,,,,,,,
Por qué Tik Tok no nos deja hacer REPOST ???????,,,,,,,
"y así Claudia dice que no vean tv azteca, más bien no quiere que vean sus errores cómo ""líder""",,,,,,,
nmms el gobierno gasta millones en un torneo que nisiquiera vamos a ganar JAJA,,,,,,,
Es una burla para las y los mexicanos.,,,,,,,
"Ojalá así fuera la seguridad y compromiso siempre, no cabe duda que a este gobierno el pueblo le vale madre",,,,,,,
"Y estados unidos, no se lo van a quitar? 🤔 🤔 Esta en plena guerra 😒",,,,,,,
"nadie deberia comprar esos boletos tan caros,,,,no lo valen",,,,,,,
"proteger a México *DURANTE* el mundial? chale bro, está claro que no merecemos ser una sede del mundial",,,,,,,
con el estado Sinaloa ya se demostró que México es un país fallido,,,,,,,
peña nieto trajo el mundial,,,,,,,
nos traicionó el sistema,,,,,,,
y cuando nos van a proteger a nosotros?,,,,,,,
Y q podrian hacer? Decir no al mundial y seguir Como siempre?,,,,,,,
"seguridad 😭😭 gobierno solo seguridad esto está de terror ya no vive uno ya no disfruta uno Asus hijos ya solo trae uno temor en que si regresará, así Balla a la esquina nuestros hijos 😭😭",,,,,,,
che gobierno hipócrita,,,,,,,
Mejor que se use el dinero para buscar a los desaparecidos,,,,,,,
bien por uds! padres y madres valientes...dios los cuide y proteja!! 🙏🙏🙏,,,,,,,
Q selo quiten jajaja,,,,,,,
Mexico 🇲🇽 vs Mexico 🇲🇽 jajaja,,,,,,,
espero encuentren pronto a sus seres queridos 🙏,,,,,,,
[Sticker] interactuando,,,,,,,
eso tendria que ser siempre no solo por el Mundial.,,,,,,,
"El turismo también aporta, fortalece la economía, es obvio que debe ser seguro!! porque criticamos todo!!",,,,,,,
Se me hizo un nudo en la garganta. Un abrazo a los familiares desde Venezuela 🫂💜,,,,,,,
"Solo para el mundial, después seguirá la carnicería.",,,,,,,
"¿ Y por que no han aplicado ese plan, para proteger a los mexicanos? 🇲🇽",,,,,,,
lemus preocúpate por el pueblo,,,,,,,
¿Y si mejor nos protegen a nosotros? 😅,,,,,,,
[Sticker] ,,,,,,,
interactuando para que se haga viral,,,,,,,
Si se puede cambiar esto es un ejemplo vamos México 🇲🇽 ojalá quedo esa vigilancia permanentemente,,,,,,,
"En México NO existe la delincuencia y menos la desaparición, recuerden que es desaparición “VOLUNTARIA” así como dice su presidentA. “NO NOS OLVIDEMOS DE LOS QUE NOS FALTAN”‼️",,,,,,,
Con ese plan se dan cuenta que si tienen todos los recursos para la seguridad pero no lo hacen? 😮,,,,,,,
"¿Por qué los gobiernos de Colombia y Mexico, se parecen tanto?.🥺",,,,,,,
Combatir el narco: nehhh. Proteger a weyes pateando un balón: tráete a X force y hasta Batman,,,,,,,
"Bienvenidos a la realidad , que KUKULKÁN ni que 💩💩💩 Uds son los verdaderos TITI CAPY del crimen organizado , son una cofradía de mafiosos y corruptos",,,,,,,
proteger a los Mexicanos:❌️proteger a los turistas:✅️😳,,,,,,,
Nada que ver una cosa con la otra,,,,,,,
boicoteen el mundial,,,,,,,
es algo stpido que gasten más en un juego que en algo que importe,,,,,,,
este gobierno es una mierda. pura mierda,,,,,,,
@☆ manguito 🥭: :DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓNj🙏🏻 DIFUSIÓN 🙏🏻 DIFUSIÓN 🙏🏻,,,,,,,
"A pero a los mexicanos que pagamos sus sueldos con nuestros impuestos que nos sigan desapareciendo y desviviendo, fuera este gobierno corrupto.",,,,,,,
"No soy de México, pero como que hay más enfoque en el mundial que en su gente?",,,,,,,
pongan a Kukulkán pero en todo México 😂si pueden hacer eso por qué no por los mexicanos?,,,,,,,
[Sticker] ,,,,,,,
la FIFA deberían de suspender el mundial en México,,,,,,,
Too late ya se canceló mi viaje a Mx y no pienso volver a pasar por la incertidumbre de si habrá balacera o no,,,,,,,
"No queremos mundial, queremos que los desaparecidos regresen a casa!!🥹",,,,,,,
Y los 130 millón es pa cuando ????????????? A ya me acorde….. nosotros no dejamos millones de $,,,,,,,
la verdad para que queremos un mundial si la selección mexicana no va a ganar el mundial,,,,,,,
que se cancele el mundial en mexico detodosmodos nunca ganamos,,,,,,,
No vean TV Azteca,,,,,,,
protegenbal turista pero no al pueblo 🙄,,,,,,,
pero ellos no tienen la culpa,,,,,,,
ojalá y esos operativos se hicieran contra el narco,,,,,,,
"@superhipo35: prefiero un México sin desaparecidos, que un mundial, espero que puedan encontrarlos y los familiares tengan paz",,,,,,,
🗣️🗣️🗣️🗣️🗣️🗣️🗣️pero protesten,,,,,,,
entonces la seguridad es cuestión de voluntad🤭,,,,,,,
De burla,,,,,,,
Si así nos cuidaran a los mexicanos 😓,,,,,,,
mientras tanto en los lugares que no vamos a recibir mundial vamos a estar bien desprotegidos,,,,,,,
🥹💔💔me dueles Mexico,,,,,,,
[Sticker] ,,,,,,,
pues chad no?,,,,,,,
"para la seguridad durante la copa del mundo, osea que los demás dias de año les vale vrg",,,,,,,
México no merece el mundial de fútbol ⚽,,,,,,,
Que tristeza 😢 que para los desaparecidos no exista el más mínimo interés por parte del gobierno.,,,,,,,
Hablando mucho de México y un pais vecino esta en guerra,,,,,,,
Pobres papás 🥺,,,,,,,
"Que guerreros, luchadores. Dios los bendiga y los proteja. Encuentren a sus desaparecidos, amén.",,,,,,,
[Sticker] Estamos con ustedes 🇲🇽💪🏻,,,,,,,
mis oraciones para Mexico y todos los padres que buscan a sus seres queridos,,,,,,,
"Creo que como ciudadanos deberíamos demostrar indiferencia ante el mundial, no participar en los eventos, no gastar en absoluto nada con refente al mundial.",,,,,,,
asta los carteles los van a cuidar verdad narco gobierno,,,,,,,
Yo no veo gente levantando la voz pero si preocupados por los artistas,,,,,,,
Entonces sí tiene el gobierno la capacidad para desplegar un plan estratégico para brindar seguridad a las personas pero sólo lo usarán para el mundial??,,,,,,,
Esque el Gobierno es parte de los desaparecidos,,,,,,,
y porque no lo han hecho en contra del narco y se hubieran perdido vidas de la guardia nacional,,,,,,,
díganle a Claudia q es la responsable,,,,,,,
"Y si hay coches bombas como ya lo han hecho, ahí también sabrán que es un coche bomba o como 🤔",,,,,,,
El plan Kukulcán: decirle a sus amigos la maña que no hagan desmadre mientras está el mundial,,,,,,,
"Súper buena idea, este país NO es perfecto como lo quiere pintar la Presidena",,,,,,,
"No puede ni con los que vivimos en México, menos con millones de turistas 😂",,,,,,,
jajajjajajjajs,,,,,,,
Este wey ya me da risa 😂😂😂😂,,,,,,,
"[Sticker] A los gobiernos no les importa ni el fútbol ni los jugadores, solo les importa tener una cortina de humo",,,,,,,
"ni que regalen, Pasajes estadias, comidas traslados y las entradas voy a México",,,,,,,
Wow y proteger a México siempre se les olvida,,,,,,,
"suena muy bonito, ojalá así combatieran a la delincuencia organizada",,,,,,,
"Justo acabo de escuchar un episodio de Pepe y Chema donde dicen que las fiscalías no tienen dinero para hojas para imprimir o tinta para los archivos que necesitan, o al menos esa es la excusa que dan.",,,,,,,
que se cancele el mundial,,,,,,,
Plan (Kukulcán ) cagarla más,,,,,,,
Interactuemos,,,,,,,
Ósea solo PRETEGEN EXTRANJEROS pero a nosotros los MEXICANOS NOOOOO?,,,,,,,
"podría no haber asientos vacíos en el mundial pero sí hay casas, familias que tienen una silla de su comedor vacía y un estadio lleno no significa nada a comparación de eso.",,,,,,,
México ni Estados Unidos merecen ser sede,,,,,,,
Osea van a cuidar el mundial en México y no a sus ciudadanos x estar los cuerpos policíacos muy ocupados,,,,,,,
nunca olviden a sus hijos,,,,,,,
"""Entiendo la rabia, a todos nos urge esa seguridad a diario.
Pero el Plan ese no es un regalo para los turistas, es un requisito legal de la FIFA. Si México no cumple, nos quitan el evento y perdemos la inversión de nuestros impuestos. Pasó igual en Brasil, en Rusia y en Qatar; es logística pura, no preferencia.""",,,,,,,
"Es sabido que los gobiernos gastan mucho dinero para promocionar su imagen y ""logros"" desgraciadamente las personas desaparecidas no son negocio que es lo que ahorita quieren tener por el mundial",,,,,,,
la gente que se queja del mundial como si el mundial tuviera la culpa la culpa la tiene el gobierno y aparte casi todo el mundial se jugará en usa y Canadá,,,,,,,
DEBERIAN CAMBIAR LA SEDE POR INSEGURIDAD,,,,,,,
[Sticker] ,,,,,,,
Claudia dice que México súper bien 😳,,,,,,,
Cancelen el mundial,,,,,,,
"Para que no lo quiten el mundial, que burla 😂😂",,,,,,,
"Dios los bendiga, e ilumine su camino",,,,,,,
En la cara del mexicano se burlan los del gobierno morena 🤦‍♀️,,,,,,,
Que peligro ir a México este va a ser el peor mundial de todos,,,,,,,
"están diciéndo que para extranjeros si hay seguridad, pero para los mexicanos nuncaaa",,,,,,,
Exacto 👍👍👍,,,,,,,
"""recordar que los desaparecidos también son mexicanos"" 😢",,,,,,,
"solo la gente entenderá cuando le pase a un familiar, tristemente",,,,,,,
"Haber, el gobierno no destina ya dinero para la realización del mundial, eso lo hace la federación de fútbol y los empresarios.
Dos, existen fiscalias especializadas en ese tema.",,,,,,,
Y eso porque no lo hicieron con Carlos Manzo ?,,,,,,,
"esto debe de ser todos los días, no solo por el evento 🙄",,,,,,,
cancelen el mundial en México,,,,,,,
NO AL MUNDIAL 😡😡😡😡,,,,,,,
"no pueden proteger a los.mexicanos , ahora quieren proteger todo un evento con extranjeros el gobierno solo quiere aparentar un bien que no es .",,,,,,,
quieren proteger a gente de fuera para un mundial pero a su gente no,,,,,,,
"Dios mío! Tantas personas desaparecidas, que triste de verdad.",,,,,,,
No queremos mundial queremos justicia🙏🏻,,,,,,,
"“Buen maquillaje para el espectáculo… mientras tanto, que continúen los Juegos del Hambre.”",,,,,,,
QUE CANCELEN EL MUNDIAL,,,,,,,
Y si hacemos el plan KUKULKÁN permanente y no nada más en el mundial !!!!,,,,,,,
Soy peruano y ni así pienso ir,,,,,,,
Esos mundiales funcionan x tantos corruptos y x las personas aficionadas eso ya no ayuda en nada,,,,,,,
Oigan una pregunta en mi tierra también ay desaparecidos pero andan con esa propaganda sirve de algo pregunto??,,,,,,,
Pq no ponen los letreros tmb en inglés para q los turistas entiendan q hay mucho mas cosas que cosas culturales en México,,,,,,,
Y por que no dejan el plan Kukulkan de manera permanente para todos los ciudadanos mexicanos???,,,,,,,
"que triste,esa seguridad la necesita culiacan,guanajuato,jalisco y sobretodo las madres buscadores,es que México esta así porque quiere",,,,,,,
Apoyo para los padres y madres que buscan a sus hij@s,,,,,,,
no al mundial,,,,,,,
no entendí por que lo sacá si no a se nada los papeles ahí,,,,,,,
la presidenta ya abrió una carpeta de investigación,,,,,,,
ya no miren TV Azteca,,,,,,,
Necesitamos mundiales las 24 horas de por vida en mexico 🥴,,,,,,,
y los padres en casa qué hacemos por educar a nuestros hijos todo se lo queremos dejar a los gobiernos si nosotros no podemos con uno o dos hijos menos el gobierno no va a poder con millones,,,,,,,
Donde seles puede donar para los recursos que necesiten,,,,,,,
[Sticker] ,,,,,,,
¿Me estás diciendo que se tiene que hacer todo eso para que se pueda jugar en paz un mundial allí?,,,,,,,
